from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Farm of Horbaczewski (Juzia),Jewish hiding groups in forest,June 1942,Walking,Joining other Jewish survivors hiding in forest,11771.txt,,,,
Forest hiding places,Farm of Wojewodski,July 1944,Walking,Seeking refuge as Soviet forces approached,11771.txt,,,,
Farm of Wojewodski,Ejszyszki,July 1944,Walking,Returning to hometown after liberation by Soviet forces,11771.txt,,,,
Ejszyszki,Germany,Post-1944,Not specified,Fleeing after retaliatory actions against local collaborators,11771.txt,,,,
Germany,"Haifa, Palestine (Israel)",1947,Exodus ship,Attempting immigration to Palestine,11771.txt,,,,
"Haifa, Palestine (Israel)",Germany,1947,British ships,Forced return by British authorities after Exodus incident,11771.txt,,,,
Germany,Israel,Late 1940s,Ship (with false certificates),Successful immigration to Israel,11771.txt,,,30.8124247,34.8594762
Israel,"New York, United States",1966,Not specified (likely airplane),Immigration to the United States,11771.txt,30.8124247,34.8594762,,
"Heidelberg, Germany","Amsterdam, Netherlands",January 1939,Train (Rheingold Express),Fleeing Germany after Kristallnacht and increasing persecution,11844.txt,49.4093582,8.694724,52.3730796,4.8924534
"Amsterdam, Netherlands","Werkdorp Nieuwesluis, Netherlands",January 1939,Not specified,Placement in a camp for young Jewish refugees,11844.txt,52.3730796,4.8924534,,
"Werkdorp Nieuwesluis, Netherlands","Amsterdam, Netherlands",March 1941,Bus,Forced evacuation by Nazis; taken in by Dutch families,11844.txt,,,52.3730796,4.8924534
"Amsterdam, Netherlands","Voorburg (suburb of The Hague), Netherlands",July/August 1942,Not specified,Going into hiding with fiancée Laura Pintus,11844.txt,52.3730796,4.8924534,,
"Voorburg, Netherlands","Amsterdam, Netherlands",November 1942,Not specified,Leaving hiding place after conflicts with fiancée,11844.txt,52.0703201,4.3558561,52.3730796,4.8924534
"Amsterdam, Netherlands",Various locations within Amsterdam,November 1942 - May 1945,"Bicycle, walking","Living underground, moving frequently to avoid detection and conducting resistance activities",11844.txt,52.3730796,4.8924534,,
"Amsterdam, Netherlands","Assen/Hooghalen (near Westerbork), Netherlands",During Nazi occupation (1943-1944),Train and bicycle,Rescue operation to help two Jewish prisoners escape from Westerbork camp,11844.txt,52.3730796,4.8924534,,
"Amsterdam, Netherlands",United States,"June 17, 1947",Ship,Emigration to the United States after the war,11844.txt,52.3730796,4.8924534,,
United States,"California, United States",July 1948,Not specified,Relocation within the United States for work and new life,11844.txt,,,,
"Radomsko, Poland","Konskie, Poland","September 1, 1939",pickup truck,Fleeing German bombing at the start of WWII,11964.txt,51.071061,19.4498464,51.1910223,20.4071836
"Konskie, Poland","Radomsko, Poland","A few days after September 1, 1939",unspecified,Returning home after German occupation reached Konskie,11964.txt,51.1910223,20.4071836,51.071061,19.4498464
Radomsko Ghetto,"Warsaw, Poland",Late 1942 or early 1943,pickup truck,"Rescued by Henryk Wroblewski, escaping ghetto liquidation",11964.txt,,,,
"Warsaw, Aryan side",Warsaw Ghetto,Early 1943,unspecified,Seeking refuge after hiding on Aryan side became dangerous,11964.txt,,,52.2497446,20.9942223
Warsaw Ghetto,Aryan side of Warsaw,Two weeks before April 1943 (Warsaw Ghetto Uprising),unspecified,Escaping imminent danger before the uprising,11964.txt,52.2497446,20.9942223,,
"Warsaw, Poland","Busko, Poland",Summer 1944,train,Escaping Warsaw due to approaching front and unrest,11964.txt,,,,
"Busko, Poland","Radomsko, Poland",After liberation (1945),"foot, wagon, train",Returning to hometown to search for family and belongings,11964.txt,,,51.071061,19.4498464
"Radomsko, Poland","Warsaw, Poland",Shortly after returning to Radomsko (1945),unspecified,Leaving Radomsko due to hostility and lack of surviving community,11964.txt,51.071061,19.4498464,,
"Warsaw, Poland","Bratislava, Czechoslovakia",1945-1946,"train, truck, boat",Leaving Poland through Aliyah Bet movement to reach Palestine,11964.txt,,,,
"Bratislava, Czechoslovakia","Mauthausen/Wells, Austria (American Zone)",1945-1946,boat across Danube,Crossing into American zone to reach displaced persons camps,11964.txt,,,,
"Mauthausen/Wells, Austria","Bad Gastein, Austria",1945-1946,unspecified,Transferred to newly established displaced persons camp,11964.txt,,,47.1144954,13.1352653
"Bad Gastein, Austria","Bremerhaven, Germany","May 10, 1946",unspecified,Preparing to emigrate to the United States,11964.txt,47.1144954,13.1352653,53.5505392,8.5851945
"Bremerhaven, Germany","New York, United States","May 18 - June 18, 1946",ship (Marine Fletcher),Emigrating to the United States,11964.txt,53.5505392,8.5851945,,
"New York, United States","California, United States",1946-1947,unspecified,Joining a cousin in California,11964.txt,,,,
"California, United States","New York, United States",1947,unspecified,Returning east after dissatisfaction in California,11964.txt,,,,
"New York, United States","Miami, Florida, United States",June 1951,unspecified,Relocating with husband and family,11964.txt,,,25.7741728,-80.19362
"Berlin, Germany","Bielsko (Bielitz), Poland",1934,Not mentioned,Forced to leave Germany due to parents' Polish origin and Nazi policies,12051.txt,52.510885,13.3989367,49.8120785,19.0291988
"Bielsko (Bielitz), Poland","Wieliczka, Poland","September 2, 1939",Bicycle,Fleeing German invasion; parents instructed her to escape,12051.txt,49.8120785,19.0291988,49.9823773,20.0602114
"Wieliczka, Poland",Towards Russian border (unspecified location),"Shortly after September 2, 1939",Walking,Attempting to escape advancing German forces,12051.txt,49.9823773,20.0602114,,
Near Russian border (unspecified location),"Wieliczka, Poland",Shortly after previous journey,Walking,Forced to return after being caught by Germans,12051.txt,,,49.9823773,20.0602114
"Wieliczka, Poland","Krakow, Poland",Late 1939 or early 1940,Car (uncle's car),Moved to Krakow to avoid ghetto restrictions,12051.txt,49.9823773,20.0602114,50.0469432,19.9971534
"Krakow, Poland","Wieliczka, Poland",Shortly after moving to Krakow,Not mentioned,Forced to leave Krakow due to Nazi restrictions on non-residents,12051.txt,50.0469432,19.9971534,49.9823773,20.0602114
"Wieliczka, Poland","Biezanow labor camp, Poland",1942,Walking,Fled Wieliczka after liquidation of Jewish community,12051.txt,49.9823773,20.0602114,,
"Biezanow labor camp, Poland","Prokocim labor camp, Poland",1942,Not mentioned,Transferred by Nazis to another labor camp,12051.txt,,,,
"Prokocim labor camp, Poland","Plaszow (Julag Number I) labor camp, Poland",1942-1943,Not mentioned,Transferred by Nazis to another labor camp,12051.txt,,,,
"Plaszow (Julag Number I), Poland","Plaszow main camp, Poland",1943-1944,Not mentioned,Transferred by Nazis after liquidation of Julag Number I,12051.txt,,,,
"Plaszow main camp, Poland","Skarzysko-Kamienna concentration camp, Poland",1944,Cattle train,Transferred by Nazis to ammunition factory camp,12051.txt,,,,
"Skarzysko-Kamienna concentration camp, Poland","Czestochowa concentration camp, Poland",Early 1944,Not mentioned,Transferred by Nazis to another ammunition factory camp,12051.txt,,,,
"Czestochowa concentration camp, Poland",Nearby woods and villages (escaping camp),"January 16, 1945",Walking,Escaped during chaos of Russian advance,12051.txt,,,,
"Czestochowa area, Poland","Krakow, Poland",Early 1945,Not mentioned,Returning to search for surviving family members,12051.txt,,,50.0469432,19.9971534
"Krakow, Poland","Bielsko (Bielitz), Poland",1945,Not mentioned,Returning to hometown to search for family and belongings,12051.txt,50.0469432,19.9971534,49.8120785,19.0291988
"Bielsko (Bielitz), Poland","Prague, Czechoslovakia",1945-1946,Train,Fleeing anti-Semitic violence in Poland,12051.txt,49.8120785,19.0291988,,
"Prague, Czechoslovakia","Paris, France",1945-1946,Not mentioned,Seeking refuge and safety after the war,12051.txt,,,,
"Paris, France","Antwerp, Belgium",1947,Not mentioned,"Travelled to Antwerp to marry, as her mother's uncle was a rabbi there",12051.txt,,,51.2211097,4.3997081
"Antwerp, Belgium","Paris, France",1947,Not mentioned,Returned to Paris after marriage,12051.txt,51.2211097,4.3997081,,
"Paris, France","New York, United States","November 23, 1947",Ship (Russian boat),Immigrated to the United States for a new life,12051.txt,,,,
"New York, United States",Canada,After 1947 (exact date not mentioned),Not mentioned,Briefly left the US to re-immigrate due to immigration status issues,12051.txt,,,,
Canada,"New York, United States",After brief stay in Canada,Not mentioned,Returned to the US after resolving immigration status,12051.txt,,,,
"New York, United States","Berlin, Germany",Approximately 1993,Not mentioned,Invited by Berlin magistrate for a tour for former residents,12051.txt,,,52.510885,13.3989367
"Berlin, Germany","New York, United States",Shortly after visit to Berlin,Not mentioned,Returned home after emotional visit,12051.txt,52.510885,13.3989367,,
"Vienna, Austria","Silesia, Germany (Kreis Gardelegen)",1940,train,Forced labor harvesting asparagus,12674.txt,48.2083537,16.3725042,,
"Silesia, Germany (Kreis Gardelegen)","Vienna, Austria",1940,train,Returned due to scarlet fever outbreak,12674.txt,,,48.2083537,16.3725042
"Vienna, Austria","Theresienstadt, Czechoslovakia",November 1943,train,Deportation to concentration camp,12674.txt,48.2083537,16.3725042,,
"Theresienstadt, Czechoslovakia","Vienna, Austria",July 1945,train (cattle car),Return after liberation from concentration camp,12674.txt,,,48.2083537,16.3725042
"Vienna, Austria","Deggendorf DP Camp, Germany",September-October 1945,truck and walking,Moved to displaced persons camp to leave Austria permanently,12674.txt,48.2083537,16.3725042,,
"Deggendorf DP Camp, Germany","Munich, Germany",Late 1946,train,Preparation for emigration to the United States,12674.txt,,,48.1371079,11.5753822
"Munich, Germany","Bremen, Germany",Late 1946 or early 1947,train,Waiting for ship to the United States,12674.txt,48.1371079,11.5753822,,
"Bremen, Germany","New York City, United States",February 1947,ship (Ernie Pyle),Emigration to the United States,12674.txt,,,40.7127281,-74.0060152
"New York City, United States",Israel,1970,airplane,Visiting brother and reconnecting with Jewish heritage,12674.txt,40.7127281,-74.0060152,30.8124247,34.8594762
Israel,"New York City, United States",1970,airplane,Return home after visit,12674.txt,30.8124247,34.8594762,40.7127281,-74.0060152
Hamburg,Theresienstadt,July 1942,Train and walking,Deportation of Jews from Hamburg to Theresienstadt,12684.txt,53.550341,10.000654,50.510716,14.149717
Theresienstadt,Auschwitz,October 1944,Cattle train,Deportation from Theresienstadt to Auschwitz,12684.txt,50.510716,14.149717,50.0382443,19.2214053
Auschwitz,"Oederan, Saxony",November 1944,Cattle train,Transferred to forced labor camp (munitions factory),12684.txt,50.0382443,19.2214053,50.8614612,13.1694372
"Oederan, Saxony",Theresienstadt,April 1945,Cattle train and walking,Evacuation from labor camp back to Theresienstadt,12684.txt,50.8614612,13.1694372,50.510716,14.149717
Theresienstadt,Berlin,Early June 1945,Russian military train,Leaving Theresienstadt after liberation,12684.txt,50.510716,14.149717,,
Berlin,Hamburg,Early June 1945,Unspecified,Returning home after liberation,12684.txt,,,53.550341,10.000654
Hamburg,"New York, USA",1950s,Unspecified (likely ship or plane),Emigration to start a new life in the United States,12684.txt,53.550341,10.000654,40.7127281,-74.0060152
"New York, USA",Barbados,1970s,Unspecified (likely plane),Fulfilling lifelong dream of celebrating birthday under palm trees,12684.txt,40.7127281,-74.0060152,13.1500331,-59.5250305
"Charlottenlund, Denmark","Hellerup, Denmark",1930,Not mentioned,Family moved to a villa closer to Copenhagen for convenience,12768.txt,55.7552973,12.5671103,55.7336657,12.5655408
"Hellerup, Denmark","Hornbaek, Denmark",Summers during childhood (1930s-1943),Car,Family vacations at their summer home,12768.txt,55.7336657,12.5655408,56.0879176,12.4587803
"Hellerup, Denmark","Copenhagen, Denmark",Jewish holidays during childhood (1930s-1943),Train,Attending synagogue for major Jewish holidays,12768.txt,55.7336657,12.5655408,55.6867243,12.5700724
"Hellerup, Denmark","Hornbaek, Denmark","September 30, 1943",Train,Fleeing German roundup of Danish Jews,12768.txt,55.7336657,12.5655408,56.0879176,12.4587803
"Hornbaek, Denmark",Fisherman's house south of Hornbaek,Early October 1943,"Bicycle (Bent, Paul, Ralph), Bus (Mother and relatives)",Attempting to escape to Sweden by fishing boat,12768.txt,56.0879176,12.4587803,,
Fisherman's house south of Hornbaek,"Hornbaek, Denmark","Same night, early October 1943","Bicycle (Bent, Paul, Ralph), Bus (Mother and relatives)",Escape attempt failed; returned to Hornbaek,12768.txt,,,56.0879176,12.4587803
"Hornbaek, Denmark","Dronningmolle, Denmark","October 5-6, 1943",Not explicitly mentioned,Second attempt to escape to Sweden,12768.txt,56.0879176,12.4587803,56.0976319,12.3875631
"Dronningmolle, Denmark",Sweden,"October 6, 1943",Fishing boat,Successful escape from Nazi persecution,12768.txt,56.0976319,12.3875631,59.6749712,14.5208584
Sweden,Denmark,July 1945,Not explicitly mentioned,Returning home after liberation,12768.txt,59.6749712,14.5208584,55.670249,10.3333283
Denmark,"New York, USA",January 1951,Ship (SS Stockholm),Immigrating to the United States,12768.txt,55.670249,10.3333283,40.7127281,-74.0060152
"New York, USA",Denmark,Mid-1952,Not explicitly mentioned,Visa expired; required to return temporarily,12768.txt,40.7127281,-74.0060152,55.670249,10.3333283
Denmark,Israel,1952,"Ship (from Brindisi, Italy)",Traveling with father for a visit,12768.txt,55.670249,10.3333283,30.8124247,34.8594762
Israel,Denmark,1952,Airplane (SAS),Father became ill; returned home early,12768.txt,30.8124247,34.8594762,55.670249,10.3333283
Denmark,"New York, USA",Late 1952 or early 1953,Not explicitly mentioned,Returning to the United States permanently,12768.txt,55.670249,10.3333283,40.7127281,-74.0060152
"New York, USA","Houston, Texas, USA",Early 1950s,Not explicitly mentioned,Seeking employment opportunities,12768.txt,40.7127281,-74.0060152,29.7589382,-95.3676974
"Houston, Texas, USA",Denmark,1956,Not explicitly mentioned,Parents' golden wedding anniversary,12768.txt,29.7589382,-95.3676974,55.670249,10.3333283
Denmark,"Los Angeles, California, USA",Late 1950s,Not explicitly mentioned,Relocating after marriage to Marget Blackman,12768.txt,55.670249,10.3333283,34.0536909,-118.242766
"Los Angeles, California, USA","Simi Valley, California, USA",1960,Not explicitly mentioned,Bought a home in Simi Valley,12768.txt,34.0536909,-118.242766,34.2677404,-118.7538071
"Simi Valley, California, USA","Canoga Park, California, USA",Early 1960s,Not explicitly mentioned,Moved closer to new job at Litton Industry,12768.txt,34.2677404,-118.7538071,34.2011078,-118.5978087
"Canoga Park, California, USA","Simi Valley, California, USA",1977,Not explicitly mentioned,Moved due to busing problems and real estate opportunities,12768.txt,34.2011078,-118.5978087,34.2677404,-118.7538071
Fil'akovo,Revuca,"Frequently until 1938, especially July-August school holidays",,Visiting mother's family during school holidays,13382.txt,,,48.6833333,20.1166667
Fil'akovo,Bratislava (Pressburg),Around 1936,,To attend Jewish studies school (Yeshiva),13382.txt,,,48.1516988,17.1093063
Bratislava,Fil'akovo,Around 1937,,Returned home due to illness (stomach ulcer),13382.txt,48.1516988,17.1093063,,
Fil'akovo,Budapest,1941,,Family moved to avoid increasing anti-Semitism and restrictions,13382.txt,,,47.4978789,19.0402383
Budapest,Kistarcsa detention camp,March 1944,Train,Father was arrested by Hungarian police and SS at railway station,13382.txt,47.4978789,19.0402383,,
Budapest apartment,Verseny utca (designated Jewish area),1944,,Forced relocation due to anti-Jewish regulations,13382.txt,47.5193649,19.0566169,,
Verseny utca,Swedish protected house in Budapest,Late 1944,,Mother and brother Frank moved for protection under Swedish papers,13382.txt,47.5018217,19.0851356,,
Swedish protected house,Sister Edith's place in Budapest,December 1944,Tram,To escape imminent danger of being killed by Hungarian fascists,13382.txt,,,,
Edith's place,John's rented apartment in Budapest,December 1944,,To hide mother and brother Frank under false identities,13382.txt,,,,
John's rented apartment,Budapest Ghetto,Late December 1944,,Mother insisted on returning due to difficulty maintaining false identity,13382.txt,,,,
Budapest,"Lucenec, Czechoslovakia",Mid-1945,,Family returned to Czechoslovakia after liberation,13382.txt,47.4978789,19.0402383,,
Lucenec,"Krupina, Czechoslovakia",1945-1946,,To join Zionist youth group (initially motivated by romantic interest),13382.txt,,,,
Lucenec,Bratislava,March 1946,Train,Beginning journey to Palestine (Aliyah),13382.txt,,,48.1516988,17.1093063
Bratislava,"Vienna, Austria",1946,,"Illegal Aliyah journey, posing as Greek repatriates",13382.txt,48.1516988,17.1093063,48.2083537,16.3725042
Vienna,"Salzburg, Austria",1946,Train,Continuing illegal Aliyah journey,13382.txt,48.2083537,16.3725042,47.7981346,13.0464806
Salzburg,"Ainring, Germany",1946,,Next stage of illegal Aliyah journey,13382.txt,47.7981346,13.0464806,,
Ainring,Belgium (near Liege),1946,,Waiting for further passage to Palestine,13382.txt,,,,
Belgium,"France (near Spanish border, Port de Bouc)",1946,Trucks,To board illegal immigration ship to Palestine,13382.txt,50.6402809,4.6667145,,
"Port de Bouc, France","Haifa, Palestine",1946,Ship,Illegal immigration to Palestine,13382.txt,43.403098,4.9806998,32.8184911,34.9988504
"Haifa, Palestine",Cyprus internment camp,1946,British Navy ship,Intercepted by British authorities and interned,13382.txt,32.8184911,34.9988504,,
Cyprus internment camp,Israel,January 1949,,Released from internment after establishment of Israel,13382.txt,,,30.8124247,34.8594762
Israel,Australia,January 1952,,To reunite with family members who had settled in Australia,13382.txt,30.8124247,34.8594762,-24.7761086,134.755
"Cracow, Podgorze",Siedleczka near Przeworsk,September 1939,"On foot, occasionally horse-drawn wagon","Fleeing German invasion, seeking refuge with grandparents",13524.txt,50.0411604,19.9592209,,
Debica area,Cracow,Late 1939,Train,Returning home after realizing Germans were not harming civilians in Cracow,13524.txt,,,50.0469432,19.9971534
Cracow,Cracow Ghetto,Late 1940 or early 1941,Not specified,Forced relocation by German authorities,13524.txt,50.0469432,19.9971534,,
Cracow Ghetto,Plaszow labor camp,January or February 1943,Not specified,"Forced labor, part of initial group to build the camp",13524.txt,,,,
Plaszow labor camp,Auschwitz-Birkenau,1944,Cattle train,Transfer of prisoners as Soviet forces approached,13524.txt,,,50.0346203,19.1807846
Auschwitz-Birkenau,Bergen-Belsen,"January 17, 1945",Cattle train,Evacuation due to advancing Soviet forces,13524.txt,50.0346203,19.1807846,48.8601371,2.4001275
Bergen-Belsen,Venusberg labor camp,Early 1945,Cattle train,Selected for forced labor in airplane parts factory,13524.txt,48.8601371,2.4001275,,
Venusberg labor camp,Mauthausen concentration camp,April 1945,Cattle train and forced march,Evacuation due to approaching Allied forces,13524.txt,,,,
Mauthausen concentration camp,Czechoslovakia,July 1945,American army trucks,Liberation and repatriation after the war,13524.txt,,,48.257918,14.5007688
Czechoslovakia,"Cracow, Poland",July 1945,Not specified,Returning home to search for surviving family members,13524.txt,48.257918,14.5007688,50.0469432,19.9971534
"Cracow, Poland","Budapest, Hungary",Mid to late 1945,Train,Reuniting with sister who had escaped earlier,13524.txt,50.0469432,19.9971534,47.4978789,19.0402383
"Budapest, Hungary","Vienna, Austria",1946,Illegally crossing the border (on foot),Seeking opportunities to emigrate to America or elsewhere,13524.txt,47.4978789,19.0402383,48.2083537,16.3725042
"Vienna, Austria","Enns Displaced Persons Camp, Austria",1946,Not specified,Placed in DP camp awaiting emigration,13524.txt,48.2083537,16.3725042,,
"Enns DP Camp, Austria","Preston, England",1948,Not specified,Accepted by England as a displaced person,13524.txt,,,53.7593363,-2.6992717
England,"Genoa, Italy",Early 1950s,Not specified,Briefly visiting mother before her departure to Australia,13524.txt,52.5310214,-1.2649062,44.40726,8.9338624
England,"Sydney, Australia",November 1953,Ship,"Joining mother and family, starting new life",13524.txt,52.5310214,-1.2649062,-33.8698439,151.2082848
Vilna,Nowogrodek,Late 1941 or early 1942,Truck,"Attempting to escape the Vilna ghetto to reach relatives in Nowogrodek, believing conditions were better there.",13693.txt,54.6870458,25.2829111,52.86548,18.9246
Nowogrodek,Lida,Late 1941 or early 1942,Train,Fleeing Nowogrodek after realizing the situation was dangerous and Jews were being killed.,13693.txt,52.86548,18.9246,31.9489012,34.8884857
Lida,Vilna,Mid-1942,Truck (hidden under airplane motor),Escaping the Lida ghetto massacre by hiding in a truck transporting airplane parts back to Vilna.,13693.txt,31.9489012,34.8884857,54.6870458,25.2829111
Vilna Ghetto,Second Ghetto (Vilna),September 1943,On foot (escaping over rooftops),Escaping the final liquidation of the Vilna Ghetto.,13693.txt,,,,
Second Ghetto (Vilna),Kailis labor camp (Vilna),September 1943,On foot (under cover of darkness),Seeking refuge and survival after the liquidation of the Vilna Ghetto.,13693.txt,,,,
Kailis labor camp (Vilna),Partisan forest near Vilna,Late 1943,On foot (escaping through barbed wire),Joining the partisan resistance fighters in the forest.,13693.txt,,,,
Partisan forest near Vilna,Vilna,July 1944,On foot,Participating in the liberation of Vilna alongside Soviet forces.,13693.txt,,,54.6870458,25.2829111
Vilna,Lvov,Late 1944,Train,"Leaving Vilna due to emotional trauma and hunger, seeking better conditions.",13693.txt,54.6870458,25.2829111,49.841952,24.0315921
Lvov,"Lodz, Poland",Late 1944 or early 1945,Train,"Moving westward after the war, joining a kibbutz group in Poland.",13693.txt,49.841952,24.0315921,51.7728245,19.4784857
Lodz,Katowice,1945,Not specified,Relocating due to anti-Semitic violence in post-war Poland.,13693.txt,51.7728245,19.4784857,50.2137321,19.0058878
Katowice,Czestochowa,1945,Not specified,Further relocation due to continued anti-Semitism and violence.,13693.txt,50.2137321,19.0058878,50.8120466,19.113213
Czestochowa,Karpaty Mountains (Polish-Czech border),1945,On foot,Leading a group of Jewish children across the border as part of the Bricha movement.,13693.txt,50.8120466,19.113213,,
Karpaty Mountains,"Prague, Czechoslovakia",1945,"On foot, then unspecified",Successfully crossing into Czechoslovakia after guiding children through dangerous terrain.,13693.txt,46.7336138,24.5273587,,
Prague,"Munich, Germany",1945,Not specified,Continuing education and joining fellow survivors from Vilna.,13693.txt,50.0596288,14.4464593,48.1371079,11.5753822
Munich,"New York, USA",1951,Not specified (likely ship or plane),Immigrating to the United States to continue medical career.,13693.txt,48.1371079,11.5753822,40.7127281,-74.0060152
New York,"Chicago, Illinois",Early 1950s,Not specified,Relocating to Chicago for medical licensing and residency opportunities.,13693.txt,40.7127281,-74.0060152,41.8755616,-87.6244212
"Nowy Sacz, Poland","Olesnica, Poland",Summers before 1937,Not mentioned,Family vacations visiting maternal grandparents,36999.txt,49.6249173,20.691346,51.2095314,17.3804559
"Nowy Sacz, Poland","Cracow, Poland",1937,Not mentioned,Father's business relocation,36999.txt,49.6249173,20.691346,50.0469432,19.9971534
"Cracow, Poland","Przemysl, Poland","August 30, 1939",Train,Fleeing impending German invasion,36999.txt,50.0469432,19.9971534,49.7835552,22.7885113
"Przemysl, Poland","Sokal, Poland",Early September 1939,Bus,Seeking safety from advancing German forces,36999.txt,49.7835552,22.7885113,52.5322088,20.5265744
"Sokal, Poland",Russian border area,Mid-September 1939,Horse-drawn wagons,Attempting to escape German invasion,36999.txt,52.5322088,20.5265744,,
Russian border area,"Rowne, Poland",Mid-September 1939,Horse-drawn wagons,Following Russian army back into Poland after Soviet invasion,36999.txt,,,50.1910329,17.7304761
"Rowne, Poland","Lwow, Poland",October-November 1939,Train (rented railroad car),Seeking better living conditions and schooling opportunities,36999.txt,50.1910329,17.7304761,52.4086237,16.9193912
"Lwow, Poland","Ural region, USSR (Posiolek)","June 29, 1940",Cattle cars (train),Deportation by Soviet authorities due to refusal of Soviet citizenship,36999.txt,52.4086237,16.9193912,,
"Ural region, USSR (Posiolek)","Fergana, USSR",1942,Train (cattle cars),"Released from forced labor camp, seeking better conditions",36999.txt,,,,
"Fergana, USSR","Kokanda, near Uzbekistan, USSR",1942,Train (cattle cars),Avoiding forced relocation to remote areas,36999.txt,,,,
"Kokanda, USSR","Leninabad, Uzbekistan, USSR",1943,Train,Seeking better living conditions and avoiding Soviet citizenship issues,36999.txt,,,,
"Leninabad, Uzbekistan, USSR","Cracow, Poland",May 1946,Train (cattle cars),Returning to Poland after WWII ended,36999.txt,,,50.0469432,19.9971534
"Cracow, Poland","Wroclaw, Poland",1946,Not mentioned,Seeking safer conditions after antisemitic violence,36999.txt,50.0469432,19.9971534,,
"Wroclaw, Poland",Czechoslovakia,September 1946,Walking (guided by Haganah),Fleeing Poland due to antisemitism and violence,36999.txt,,,48.257918,14.5007688
Czechoslovakia,"Kleinmunchen, near Linz, Austria",September 1946,Not mentioned,Transit camp en route to Germany,36999.txt,48.257918,14.5007688,,
"Kleinmunchen, Austria","Bad Reichenhall, Germany",Late 1946,Not mentioned,Temporary stay awaiting DP camp placement,36999.txt,48.2549271,14.310982,47.7222676,12.8760923
"Bad Reichenhall, Germany","Bamberg, Germany",Late 1946,Not mentioned,Placement in DP camp with family connections,36999.txt,47.7222676,12.8760923,49.8916044,10.8868478
"Bamberg, Germany","Frankfurt, Germany",1947,Not mentioned,Attending university studies,36999.txt,49.8916044,10.8868478,50.1106444,8.6820917
"Frankfurt, Germany","Bamberg, Germany",Early 1949,Not mentioned,Returning to family after graduation,36999.txt,50.1106444,8.6820917,49.8916044,10.8868478
"Bamberg, Germany","Bremerhaven, Germany",July 1949,Not mentioned,Emigration to the United States,36999.txt,49.8916044,10.8868478,53.5505392,8.5851945
"Bremerhaven, Germany","Boston, USA",August 1949,Ship (General Haan),Immigration to the United States,36999.txt,53.5505392,8.5851945,42.3554334,-71.060511
"Boston, USA","New York City, USA",August 1949,Train,Joining family and settling in the United States,36999.txt,42.3554334,-71.060511,40.7127281,-74.0060152
"New York City, USA","Flemington, New Jersey, USA",After 1955,Not mentioned,Moving closer to family and husband's work,36999.txt,40.7127281,-74.0060152,40.5130953,-74.8591333
"Svalava, Czechoslovakia","Mukacevo (Munkacs), Czechoslovakia",April 1944,Unknown,Forced relocation to the ghetto in Mukacevo after being gathered in the synagogue.,37605.txt,,,,
"Mukacevo (Munkacs), Czechoslovakia","Auschwitz-Birkenau, Poland",May 1944,Cattle train,Deportation to concentration camp.,37605.txt,,,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Ravensbruck, Germany",January 1945,Walking (Death march),Forced evacuation due to approaching Russian forces.,37605.txt,50.0346203,19.1807846,53.1895808,13.1707778
"Ravensbruck, Germany","Neustadt, Germany (near Hamburg)",Early 1945,Unknown,Transferred for forced labor.,37605.txt,53.1895808,13.1707778,,
"Neustadt, Germany",Unknown German towns,May 1945,Unknown,Liberation by English soldiers; survivors dispersed into nearby towns.,37605.txt,49.3539802,8.1350021,,
Unknown German towns,"Prague, Czechoslovakia",May 1945,Truck (organized by Russian soldiers),Returning home after liberation.,37605.txt,,,,
"Prague, Czechoslovakia","Budapest, Hungary",Mid-1945,Unknown,Attempting to return home and find surviving family.,37605.txt,,,47.4978789,19.0402383
"Budapest, Hungary","Svalava, Czechoslovakia",Mid-1945,Military train,Returning to hometown to search for family.,37605.txt,47.4978789,19.0402383,,
"Svalava, Czechoslovakia",Hungary (grandfather's town),Mid-1945,Train,Searching for surviving relatives after finding no family in Svalava.,37605.txt,,,,
Hungary (grandfather's town),"Budapest, Hungary",Late 1945,Unknown,Decided to leave Hungary and go to Israel.,37605.txt,,,47.4978789,19.0402383
"Budapest, Hungary","Bad Gastein, Austria",Late 1945 or early 1946,Walking (illegally crossing border),"Escaping communism, moving towards DP camp.",37605.txt,47.4978789,19.0402383,47.1144954,13.1352653
"Bad Gastein, Austria","Rome, Italy",1946,Walking (illegally crossing Alps),Seeking immigration opportunities to America or Israel.,37605.txt,47.1144954,13.1352653,41.8933203,12.4829321
"Rome, Italy","Bari, Italy",1946,Unknown,Joining relatives and acquaintances in another DP camp.,37605.txt,41.8933203,12.4829321,41.1257843,16.8620293
"Bari, Italy","Genoa, Italy",Early 1947,Unknown,Preparing to emigrate to the United States.,37605.txt,41.1257843,16.8620293,44.40726,8.9338624
"Genoa, Italy","New York, United States",March or April 1947,Ship (Marine Perch),Immigration to the United States.,37605.txt,44.40726,8.9338624,,
"New York, United States","Newport, Rhode Island, United States",1947,Unknown,Uncle accepted a rabbinical position.,37605.txt,,,,
"Newport, Rhode Island, United States","Bronx, New York, United States",1947,Unknown,Uncle decided not to stay in Newport; moved to Bronx.,37605.txt,,,40.8466508,-73.8785937
"Bronx, New York, United States","East Side (East 4th Street), New York, United States",Late 1940s,Unknown,Moved to a permanent apartment.,37605.txt,40.8466508,-73.8785937,,
